Employee_ID,Department,Age,Gender,Years_At_Company,Job_Level,Weekly_Hours,Training_Hours,Projects_Completed,Attendance_Rate,Engagement_Score,Salary_Hike_Pct,Prev_Rating_1,Prev_Rating_2,Performance_Score,Attrition_Risk
EMP1000,Marketing,59,Female,10,3,39,74,5,0.9086939739962726,4.746751706668598,21,0,1,Medium,0.0
EMP1001,Finance,55,Male,9,1,42,51,3,0.8994307631765743,4.307796100336443,12,1,2,Medium,0.0
EMP1002,HR,33,Male,10,4,46,94,7,0.8269571569834877,4.377705332480348,11,0,1,High,0.010296524246461054
EMP1003,Finance,40,Male,4,1,36,18,3,0.8992150957001063,3.276566281817073,11,2,1,Low,0.13734997839566732
EMP1004,Finance,58,Female,8,4,46,69,5,0.8338207800841303,2.5294583916668434,19,2,1,Medium,0.0
EMP1005,Sales,38,Male,10,3,39,24,7,0.8252271572591531,4.738232290173127,11,1,1,Medium,0.12014170317870249
EMP1006,HR,31,Female,3,1,56,66,3,0.9865291434682335,2.728468702463578,12,1,1,Medium,0.3455129929176488
EMP1007,HR,33,Non-Binary,3,3,39,78,2,0.9209900026295409,3.1552774689986762,13,1,1,Medium,0.013819274779132041
EMP1008,HR,37,Female,8,4,47,31,6,0.9318980116249169,2.784457228500751,19,1,0,Medium,0.029613358988560476
EMP1009,Finance,45,Female,5,3,43,73,8,0.8803587340666728,3.2592732558407884,6,1,1,High,0.0
EMP1010,Marketing,40,Male,3,1,44,50,4,0.9817961783829728,2.8820203159693087,11,1,1,Medium,0.14507994663087395
EMP1011,HR,29,Female,10,1,35,96,9,0.9275860979159332,1.1918702343179035,19,1,0,Medium,0.2882858238795387
EMP1012,Data Science,52,Female,11,3,37,80,8,0.9538339739047175,4.528192744030795,22,0,1,High,0.026162526358077087
EMP1013,Finance,42,Male,1,2,52,65,7,0.8737124938055428,2.777575275663079,22,2,1,Medium,0.024611770637658365
EMP1014,Sales,38,Male,3,4,46,32,7,0.992002376163825,3.355774594029395,14,2,0,Medium,0.0
EMP1015,Marketing,44,Female,12,4,37,34,3,0.964092258031663,1.5567512110319481,22,1,1,Low,0.4703087386728018
EMP1016,Data Science,58,Female,9,3,59,15,6,0.9707896926029087,1.0135513919305565,5,2,1,Medium,0.8870817551863465
EMP1017,Data Science,37,Female,5,2,43,43,5,0.8344388534851509,1.9811603745745718,11,1,1,Medium,0.4743510670334597
EMP1018,Sales,27,Female,12,1,36,72,1,0.8541926415742439,3.818344128533401,7,0,1,Low,0.13244314714087838
EMP1019,Marketing,29,Female,10,5,37,18,3,0.8571253199367155,1.3967781204515144,18,1,1,Low,0.6707487207205363
EMP1020,Finance,46,Female,2,5,48,69,1,0.8541818446493743,4.635549761545871,16,1,1,Medium,0.037490768630077574
EMP1021,Engineering,39,Male,7,3,38,58,4,0.9710816324208575,1.8600902774247383,18,1,1,Medium,0.27193878546388917
EMP1022,Marketing,46,Male,2,2,59,60,3,0.8063769590417185,1.8183744571671032,8,2,0,Medium,0.7146071085428642
EMP1023,Sales,33,Male,4,2,53,69,4,0.815219997796155,1.726031846485982,17,2,2,Medium,0.513828144488958
EMP1024,Data Science,36,Female,12,4,47,79,9,0.8547829741259808,1.055926851885459,20,1,1,Medium,0.43094161851420504
EMP1025,Finance,47,Female,7,1,41,46,3,0.8399745949298888,4.087221873912938,20,1,0,Medium,0.0
EMP1026,Marketing,47,Female,4,2,46,40,6,0.8463719227765697,4.500138124981034,9,0,1,Medium,0.0
EMP1027,Engineering,53,Male,7,5,37,50,6,0.95958863785066,3.4566508104647955,24,0,1,Medium,0.0
EMP1028,Engineering,31,Female,7,1,57,71,7,0.9126253187784094,1.7527999267194492,10,1,1,Medium,0.7555520470122296
EMP1029,HR,37,Female,1,1,57,67,9,0.8011541322585937,2.141111987763519,10,1,1,Medium,0.31540369673707486
EMP1030,HR,28,Female,6,3,43,23,7,0.8858645531408391,2.903706789459853,22,1,1,Medium,0.0
EMP1031,Sales,38,Female,9,2,36,45,1,0.8815769853700718,4.817383806493203,10,1,2,Medium,0.11400132864007856
EMP1032,Marketing,44,Male,2,3,56,45,8,0.8227890538889088,1.9894054872709712,11,1,1,Medium,0.8970633672611443
EMP1033,Marketing,47,Female,14,2,43,88,5,0.9352283577202914,3.926583615679552,20,0,0,Medium,0.0
EMP1034,Data Science,42,Male,3,4,46,17,9,0.9404194376758982,2.7577928931716813,13,1,2,Medium,0.013631129556366767
EMP1035,Data Science,43,Male,10,3,46,35,5,0.9441786438104196,2.191389393440087,17,0,2,Medium,0.0
